self,pid,command,shared_obj,symbol
1579053784.0,49321,python,python,_PyEval_EvalFrameDefault
1466098653.0,49332,python,python,_PyEval_EvalFrameDefault
1452825977.0,49299,python,python,_PyEval_EvalFrameDefault
1446455312.0,49288,python,python,_PyEval_EvalFrameDefault
1439987018.0,49310,python,python,_PyEval_EvalFrameDefault
1395447549.0,49344,python,python,_PyEval_EvalFrameDefault
340891523.0,49299,python,python,_PyTypeCache_Lookup
337007116.0,49321,python,python,_PyTypeCache_Lookup
317960684.0,49310,python,python,_PyTypeCache_Lookup
316400742.0,49288,python,python,_PyTypeCache_Lookup
303963822.0,49332,python,python,_PyTypeCache_Lookup
295642177.0,49344,python,python,_PyTypeCache_Lookup
264268788.0,49321,python,python,_PyEval_EvalFrameDefault
246992191.0,49310,python,python,_PyEval_EvalFrameDefault
240979696.0,49299,python,python,_PyEval_EvalFrameDefault
229515737.0,49288,python,python,_PyEval_EvalFrameDefault
225843201.0,49344,python,python,_PyEval_EvalFrameDefault
207298296.0,49332,python,python,_PyEval_EvalFrameDefault
164769723.0,49310,python,python,_PyObject_GetAttrStackRef
160651424.0,49299,python,python,_PyObject_GetAttrStackRef
159644465.0,49332,python,python,_PyObject_GetAttrStackRef
157643377.0,49332,python,python,unicodekeys_lookup_unicode
153692761.0,49299,python,python,unicodekeys_lookup_unicode
152539601.0,49344,python,python,unicodekeys_lookup_unicode
148844018.0,49288,python,python,_PyObject_GenericGetAttrWithDict
146792659.0,49288,python,python,unicodekeys_lookup_unicode
143834858.0,49321,python,python,_PyObject_GenericGetAttrWithDict
142820772.0,49344,python,python,_PyObject_GetAttrStackRef
140985913.0,49332,python,python,_PyObject_Malloc
140868634.0,49299,python,python,_PyObject_Malloc
140842449.0,49310,python,python,_PyObject_GenericGetAttrWithDict
139754188.0,49310,python,python,_PyObject_Malloc
139691553.0,49310,python,python,unicodekeys_lookup_unicode
138941278.0,49310,python,python,_PyFrame_ClearExceptCode
138743170.0,49299,python,python,_PyFrame_ClearExceptCode
138067681.0,49321,python,python,_PyObject_GetAttrStackRef
137268837.0,49332,python,python,_PyFrame_ClearExceptCode
136019143.0,49344,python,python,_PyObject_GenericGetAttrWithDict
133051093.0,49344,python,python,_PyObject_Malloc
131126634.0,49321,python,python,_PyObject_Malloc
129787522.0,49321,python,python,unicodekeys_lookup_unicode
129035077.0,49344,python,python,_PyFrame_ClearExceptCode
125773662.0,49321,python,python,_PyFrame_ClearExceptCode
123275173.0,49299,python,python,_PyObject_GenericGetAttrWithDict
118314757.0,49288,python,python,_PyObject_Malloc
110475613.0,49299,python,python,initialize_locals
109401620.0,49321,python,python,initialize_locals
104434124.0,49332,python,python,_PyObject_GenericGetAttrWithDict
100309168.0,49332,python,python,_Py_Dealloc
99605294.0,49288,python,python,_PyFrame_ClearExceptCode
94590655.0,49321,python,python,_PyType_LookupStackRefAndVersion
94590048.0,49310,python,python,initialize_locals
94484016.0,49344,python,python,initialize_locals
93645150.0,49288,python,python,_PyObject_GetAttrStackRef
93633111.0,49310,python,python,_Py_Dealloc
92528370.0,49299,python,python,_Py_Dealloc
91746664.0,49299,python,python,_Py_dict_lookup
91736111.0,49288,python,python,_Py_Dealloc
91636323.0,49344,python,python,_Py_Dealloc
90624135.0,49332,python,python,initialize_locals
90353905.0,49288,python,python,_PyObject_Free
88682674.0,49321,python,python,_Py_Dealloc
88643853.0,49299,python,python,_PyType_LookupStackRefAndVersion
86711971.0,49321,python,python,_Py_dict_lookup
84820116.0,49344,python,python,_PyObject_Free
84815921.0,49288,python,python,initialize_locals
84667973.0,49299,python,python,tuple_dealloc
84659732.0,49288,python,python,_PyType_LookupStackRefAndVersion
83429522.0,49310,python,python,_PyType_LookupStackRefAndVersion
82787125.0,49321,python,python,tuple_dealloc
81726659.0,49321,python,python,_PyObject_Free
79752485.0,49310,python,python,tuple_dealloc
79611166.0,49344,python,python,_Py_dict_lookup
78504147.0,49332,python,python,_PyType_LookupStackRefAndVersion
77934340.0,49332,python,python,_Py_dict_lookup
77814321.0,49288,python,python,_Py_dict_lookup
76937828.0,49344,python,python,tuple_dealloc
76761278.0,49310,python,python,_Py_dict_lookup
75806579.0,49299,python,python,_PyObject_Free
72942365.0,49310,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
72357828.0,49310,python,python,_PyObject_Free
71936485.0,49288,python,python,tuple_dealloc
68844713.0,49332,python,python,_PyObject_Free
66949973.0,49299,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
65990370.0,49332,python,python,tuple_dealloc
65125250.0,49344,python,python,_PyType_LookupStackRefAndVersion
63953440.0,49321,python,python,gc_collect_main
62086264.0,49288,python,python,gc_collect_main
60045607.0,49310,python,python,gc_collect_main
59941339.0,49344,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
59116027.0,49344,python,python,gc_collect_main
58137193.0,49299,python,python,PyObject_SetAttr
58014006.0,49299,python,python,gc_collect_main
57206352.0,49310,python,python,_PyObject_TryGetInstanceAttribute
57166816.0,49332,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
57150774.0,49321,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
57070781.0,49310,python,python,PyType_IsSubtype
55234937.0,49288,python,python,PyObject_SetAttr
55230901.0,49299,python,python,_PyObject_TryGetInstanceAttribute
54229529.0,49288,python,python,PyObject_GC_UnTrack
54219419.0,49310,python,python,PyObject_IsTrue
54012010.0,49321,python,python,PyType_IsSubtype
53211657.0,49299,python,python,tuple_alloc
52210484.0,49332,python,python,gc_collect_main
52195427.0,49332,python,python,_PyObject_TryGetInstanceAttribute
52042475.0,49288,python,python,PyObject_RichCompareBool
51401313.0,49288,python,python,PyType_IsSubtype
51312694.0,49321,python,python,PyObject_IsTrue
51312406.0,49299,python,python,PyObject_IsTrue
51185528.0,49332,python,python,PyObject_SetAttr
50281231.0,49310,python,python,PyObject_SetAttr
50279056.0,49288,python,libsqlite3.so.0.8.6,sqlite3VdbeExec
50238112.0,49321,python,python,_PyEval_FrameClearAndPop
50191926.0,49332,python,python,PyObject_IsTrue
49367271.0,49321,python,python,PyObject_SetAttr
49267279.0,49344,python,python,PyObject_SetAttr
49151425.0,49344,python,python,dict_dealloc
49123644.0,49344,python,python,_PyEval_FrameClearAndPop
47363229.0,49321,python,python,_PyObject_TryGetInstanceAttribute
47345935.0,49344,python,python,PyType_IsSubtype
47263803.0,49332,python,python,_PyTypeCache_Lookup
46421223.0,49332,python,python,dict_dealloc
46356591.0,49332,python,libc.so.6,__memset_avx2_unaligned_erms
46332408.0,49321,python,python,tuple_alloc
46283433.0,49344,python,python,PyObject_GC_UnTrack
46275502.0,49321,python,python,PyObject_GC_UnTrack
46195330.0,49288,python,python,tuple_alloc
45416183.0,49288,python,python,_PyEvalFramePushAndInit
45389340.0,49344,python,python,_PyObject_TryGetInstanceAttribute
45335146.0,49332,python,python,_PyTuple_FromStackRefStealOnSuccess
45144815.0,49344,python,python,subtype_dealloc
44424935.0,49321,python,python,_PyEvalFramePushAndInit
44383117.0,49299,python,python,PyObject_RichCompareBool
44372892.0,49332,python,python,_PyEvalFramePushAndInit
44362563.0,49299,python,python,dict_dealloc
44318855.0,49288,python,python,_PyEval_FrameClearAndPop
44199699.0,49344,python,python,_PyEvalFramePushAndInit
43383501.0,49332,python,python,PyObject_GC_UnTrack
43357021.0,49299,python,python,PyObject_GC_UnTrack
43112992.0,49321,python,libc.so.6,__memmove_avx_unaligned_erms
42399706.0,49288,python,python,_PyObject_TryGetInstanceAttribute
42353653.0,49299,python,libc.so.6,__memset_avx2_unaligned_erms
41439211.0,49310,python,python,tuple_alloc
41413040.0,49332,python,python,_PyEval_FrameClearAndPop
41411326.0,49288,python,python,PyObject_Vectorcall
41374686.0,49310,python,python,PyObject_RichCompareBool
41336102.0,49299,python,python,_PyEval_FrameClearAndPop
41291750.0,49299,python,python,_PyJIT_Entry
40491660.0,49310,python,python,_PyTuple_FromStackRefStealOnSuccess
40394803.0,49299,python,python,subtype_dealloc
40308392.0,49332,python,python,subtype_dealloc
40280970.0,49332,python,python,PyObject_RichCompareBool
39492533.0,49332,python,python,PyType_IsSubtype
39463291.0,49288,python,python,subtype_dealloc
39455252.0,49344,python,python,tuple_alloc
39447793.0,49310,python,libc.so.6,__memset_avx2_unaligned_erms
39433184.0,49310,python,python,dict_dealloc
39417362.0,49310,python,python,_PyEval_FrameClearAndPop
39381491.0,49344,python,python,PyObject_RichCompareBool
39374140.0,49344,python,python,_PyTuple_FromStackRefStealOnSuccess
38499636.0,49321,python,python,_PyTuple_FromStackRefStealOnSuccess
38499165.0,49310,python,python,PyObject_GenericSetAttr
38443032.0,49299,python,python,PyType_IsSubtype
38438722.0,49344,python,libc.so.6,__memmove_avx_unaligned_erms
38423193.0,49310,python,python,PyDict_GetItemRef
38403844.0,49344,python,python,_PyJIT_Entry
38379907.0,49288,python,python,PyObject_IsTrue
38367382.0,49310,python,python,PyObject_GC_UnTrack
38340627.0,49288,python,python,_PyTuple_FromStackRefStealOnSuccess
